epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.437,3.81695,12.3888,3.94645,0.00033,0.13886,0.00057,0.00012,3.72621,12.5566,3.61403,0.00022,0.00022,0.07822
2,16.389,3.47395,8.2414,3.27974,0.16716,0.04902,0.00285,0.00078,3.75238,inf,4.10314,0.000447772,0.000447772,0.0554478
3,21.944,3.01518,7.16518,2.9817,0.36057,0.1303,0.00874,0.00151,3.65991,inf,4.3017,0.000673268,0.000673268,0.0326733
4,27.3132,2.57792,6.50963,2.70831,0.06509,0.23892,0.03631,0.01054,3.03025,inf,3.60557,0.000896486,0.000896486,0.00989649
5,32.6349,2.33964,5.95031,2.50822,0.55838,0.05561,0.04717,0.01198,3.14029,31.3503,3.19555,0.0009802,0.0009802,0.0009802
6,38.0075,2.17006,5.62956,2.37519,0.19133,0.39179,0.26532,0.09046,2.60908,24.1909,3.76262,0.00097525,0.00097525,0.00097525
7,43.4268,2.02723,5.31997,2.26517,0.3395,0.27571,0.18417,0.06676,2.48129,13.8671,2.83184,0.0009703,0.0009703,0.0009703
8,48.5559,1.96892,5.22459,2.18663,0.31415,0.39224,0.29051,0.10314,2.3913,10.5754,2.66894,0.00096535,0.00096535,0.00096535
9,53.9505,1.89906,5.0333,2.13247,0.6175,0.30341,0.35746,0.13207,2.29431,8.57987,2.51315,0.0009604,0.0009604,0.0009604
10,59.3296,1.86128,4.86927,2.08321,0.44987,0.33594,0.30674,0.14068,2.41712,8.70068,2.66623,0.00095545,0.00095545,0.00095545
11,64.6756,1.78729,4.75022,2.02595,0.38274,0.21502,0.19617,0.07191,2.44234,8.68285,2.71407,0.0009505,0.0009505,0.0009505
12,69.7499,1.7807,4.63451,2.00162,0.47355,0.50236,0.51122,0.21554,2.06693,5.93843,2.28412,0.00094555,0.00094555,0.00094555
13,75.0681,1.70873,4.49036,1.94839,0.61389,0.42468,0.47557,0.21763,2.02736,6.54188,2.31286,0.0009406,0.0009406,0.0009406
14,80.3915,1.68835,4.39319,1.92727,0.43117,0.49038,0.45455,0.19304,2.11782,6.97693,2.36363,0.00093565,0.00093565,0.00093565
15,85.4664,1.67414,4.41623,1.91847,0.5933,0.46899,0.48807,0.19859,2.02543,5.99102,2.29515,0.0009307,0.0009307,0.0009307
16,90.5138,1.68215,4.28294,1.90934,0.43097,0.43961,0.46397,0.21001,2.06499,6.66888,2.33892,0.00092575,0.00092575,0.00092575
17,95.6201,1.64323,4.1731,1.88106,0.53962,0.63177,0.63567,0.29575,1.90473,5.05235,2.18107,0.0009208,0.0009208,0.0009208
18,100.942,1.58779,4.09659,1.84267,0.46754,0.44656,0.44495,0.18394,2.15699,6.43565,2.36062,0.00091585,0.00091585,0.00091585
19,106.084,1.59926,4.13079,1.84532,0.60957,0.49724,0.56315,0.26238,1.87124,5.06706,2.14194,0.0009109,0.0009109,0.0009109
20,111.139,1.58144,4.00471,1.82974,0.58455,0.59412,0.57439,0.26059,1.94274,5.19705,2.21503,0.00090595,0.00090595,0.00090595
21,116.249,1.57432,4.00722,1.82149,0.61731,0.54391,0.60429,0.28588,1.82737,5.21243,2.15832,0.000901,0.000901,0.000901
22,121.609,1.55017,3.91022,1.80473,0.42562,0.54669,0.48285,0.20973,2.09709,6.19631,2.30697,0.00089605,0.00089605,0.00089605
23,126.751,1.5565,3.84205,1.80088,0.52803,0.53035,0.57491,0.2422,2.03135,5.95306,2.28499,0.0008911,0.0008911,0.0008911
24,131.817,1.54705,3.85074,1.79471,0.62533,0.47632,0.51313,0.24125,2.04743,6.30222,2.31382,0.00088615,0.00088615,0.00088615
25,136.881,1.54603,3.86462,1.78051,0.76845,0.55826,0.68387,0.33942,1.76605,4.59477,2.09641,0.0008812,0.0008812,0.0008812
26,142.19,1.51367,3.69227,1.75435,0.55356,0.58043,0.59579,0.2818,1.99585,5.10759,2.27552,0.00087625,0.00087625,0.00087625
27,147.303,1.50169,3.67332,1.75261,0.71635,0.54841,0.6217,0.28344,1.98897,5.42833,2.25802,0.0008713,0.0008713,0.0008713
28,152.35,1.52052,3.7121,1.76358,0.57474,0.64564,0.66129,0.31908,1.77594,5.02188,2.07182,0.00086635,0.00086635,0.00086635
29,157.439,1.51024,3.62807,1.76002,0.61663,0.65341,0.66944,0.32365,1.82328,4.60049,2.12924,0.0008614,0.0008614,0.0008614
30,162.717,1.4839,3.58961,1.73603,0.61837,0.66265,0.69324,0.3145,1.82964,4.64507,2.13203,0.00085645,0.00085645,0.00085645
31,167.749,1.46901,3.4901,1.7267,0.6042,0.6336,0.65336,0.31064,1.81696,4.8695,2.13858,0.0008515,0.0008515,0.0008515
32,172.797,1.46577,3.51419,1.72902,0.5274,0.66872,0.6292,0.29093,1.78541,4.81638,2.06763,0.00084655,0.00084655,0.00084655
33,177.863,1.43663,3.39471,1.71017,0.66511,0.61209,0.6836,0.34431,1.76772,4.57301,2.08702,0.0008416,0.0008416,0.0008416
34,183.148,1.4566,3.41237,1.71004,0.50833,0.5228,0.51896,0.25306,2.13439,5.78838,2.37167,0.00083665,0.00083665,0.00083665
35,188.22,1.44137,3.39915,1.71868,0.64256,0.57728,0.67895,0.34177,1.85947,4.57677,2.15546,0.0008317,0.0008317,0.0008317
36,193.259,1.41878,3.32125,1.68549,0.55456,0.58531,0.57445,0.26612,1.97298,4.70265,2.25918,0.00082675,0.00082675,0.00082675
37,198.343,1.42707,3.31097,1.69149,0.55339,0.60025,0.62024,0.29483,1.8701,4.87421,2.18502,0.0008218,0.0008218,0.0008218
38,203.396,1.42563,3.32517,1.68248,0.67579,0.59958,0.67572,0.32515,1.81367,4.37498,2.10498,0.00081685,0.00081685,0.00081685
39,208.678,1.39713,3.24987,1.6678,0.53316,0.4682,0.47246,0.21194,2.22958,5.76176,2.45174,0.0008119,0.0008119,0.0008119
40,213.724,1.37161,3.21563,1.65498,0.66005,0.64563,0.68264,0.33228,1.84797,4.38731,2.12456,0.00080695,0.00080695,0.00080695
41,218.793,1.40725,3.20239,1.65382,0.56493,0.5762,0.59475,0.28726,1.88292,4.96088,2.19412,0.000802,0.000802,0.000802
42,223.82,1.39008,3.23278,1.6487,0.63682,0.50589,0.58096,0.26064,2.00665,5.47217,2.27913,0.00079705,0.00079705,0.00079705
