                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5029,                 4.3938,                 4.0962,                0.00462,                0.37839,                0.00935,                 0.0029,                 3.5673,                 3.9797,                   4.12,             0.00032963,             0.00032963,             0.00032963
                      2,                 3.0725,                 3.9527,                 3.6227,                0.01063,                 0.4273,                0.01398,                0.00387,                 3.2117,                 3.9896,                 3.6071,             0.00064984,             0.00064984,             0.00064984
                      3,                 2.8018,                  3.649,                 3.1836,                0.68272,                 0.0192,                0.01435,                0.00389,                  2.919,                 7.8881,                 3.0319,             0.00095684,             0.00095684,             0.00095684
                      4,                  2.513,                 3.2936,                 2.9102,                0.14363,                 0.1675,                0.04835,                0.01451,                 2.6777,                 4.0779,                 3.0123,              0.0009406,              0.0009406,              0.0009406
                      5,                 2.3078,                 3.0667,                 2.7307,                0.09199,                0.19283,                0.07698,                0.02476,                 2.4591,                 3.3701,                 2.7837,              0.0009406,              0.0009406,              0.0009406
                      6,                 2.1416,                 2.8278,                 2.5727,                0.43643,                 0.1907,                0.11903,                0.04294,                 2.3054,                 3.0884,                 2.6352,              0.0009208,              0.0009208,              0.0009208
                      7,                 2.0551,                 2.6932,                 2.4433,                0.13909,                0.36277,                0.15817,                 0.0612,                  2.263,                 2.9561,                 2.5579,               0.000901,               0.000901,               0.000901
                      8,                 1.9365,                 2.5034,                 2.3479,                0.41858,                0.36213,                0.30263,                0.11996,                 2.1167,                  2.588,                 2.4488,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.9195,                 2.4343,                 2.3108,                0.42158,                0.35017,                0.29682,                0.11786,                 2.1081,                 2.4768,                 2.3884,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.8893,                 2.3825,                 2.2792,                0.41114,                 0.3611,                0.26946,                0.10436,                 2.0865,                 2.4901,                 2.3883,              0.0008416,              0.0008416,              0.0008416
