                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6257,                 10.584,                 3.4277,                0.06834,                0.23875,                0.05203,                0.01697,                 3.4676,                     21,                 3.6891,               0.067183,             0.00033148,             0.00033148
                      2,                 3.1721,                 8.3511,                  3.057,                 0.8461,                0.11986,                0.16516,                 0.0567,                 3.1876,                 15.514,                 3.3063,                0.03418,             0.00066152,             0.00066152
                      3,                 2.7792,                 7.8604,                 2.8284,                0.33108,                0.22242,                0.11046,                0.03445,                 3.0995,                 11.758,                 3.1312,              0.0011735,             0.00098827,             0.00098827
                      4,                 2.5754,                  7.351,                 2.6545,                0.45102,                0.24439,                0.27437,                0.11356,                 2.6448,                 7.9503,                 2.9647,             0.00098515,             0.00098515,             0.00098515
                      5,                 2.4358,                 6.8865,                 2.5511,                0.48385,                0.27827,                0.31199,                0.12426,                 2.5522,                 7.6272,                 2.7294,             0.00098515,             0.00098515,             0.00098515
                      6,                 2.3065,                 6.5441,                 2.4534,                0.69021,                0.21995,                0.26027,                0.10678,                 2.4209,                 8.8853,                  2.564,              0.0009802,              0.0009802,              0.0009802
                      7,                 2.1973,                 6.2571,                 2.3564,                0.75299,                0.29336,                0.37729,                 0.1628,                 2.2881,                 6.8574,                 2.4971,             0.00097525,             0.00097525,             0.00097525
                      8,                  2.136,                 6.0617,                 2.2862,                0.43324,                0.28259,                  0.273,                0.10008,                 2.4701,                 7.4099,                 2.5963,              0.0009703,              0.0009703,              0.0009703
                      9,                 2.0958,                 5.9017,                 2.2656,                0.67663,                 0.3947,                0.39341,                0.16791,                 2.2083,                 8.2065,                 2.3816,             0.00096535,             0.00096535,             0.00096535
                     10,                 2.0308,                 5.7496,                 2.2171,                0.58821,                0.25094,                0.36291,                 0.1462,                 2.3459,                 6.5456,                 2.4159,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.9936,                 5.6554,                 2.1791,                 0.7343,                0.36606,                0.39689,                0.17991,                 2.1764,                 7.3996,                 2.3853,             0.00095545,             0.00095545,             0.00095545
                     12,                 1.9393,                 5.5673,                  2.141,                0.60416,                0.40205,                0.30755,                0.14248,                 2.1864,                 9.2883,                 2.4213,              0.0009505,              0.0009505,              0.0009505
                     13,                  1.939,                 5.4928,                 2.1278,                0.66554,                0.47594,                0.49461,                 0.2246,                 2.0165,                 7.5432,                 2.3284,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.8938,                 5.3876,                 2.1023,                0.60484,                 0.5285,                0.49174,                0.22593,                  1.994,                 7.5423,                 2.2917,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.8794,                  5.421,                 2.0863,                0.74668,                0.37995,                0.44889,                0.19524,                 2.0422,                 6.2493,                 2.3031,             0.00093565,             0.00093565,             0.00093565
                     16,                 1.8135,                 5.0494,                 2.0256,                0.76826,                 0.3849,                0.44676,                0.21221,                 1.9663,                  7.223,                 2.2349,              0.0009307,              0.0009307,              0.0009307
                     17,                 1.8221,                 5.1803,                 2.0421,                0.72018,                0.48567,                0.52849,                0.23405,                 2.0207,                  6.324,                 2.2919,             0.00092575,             0.00092575,             0.00092575
                     18,                 1.8258,                 5.1285,                 2.0199,                0.69576,                0.51542,                0.50612,                0.22893,                  2.023,                 6.8951,                 2.2644,              0.0009208,              0.0009208,              0.0009208
                     19,                 1.8099,                 5.0352,                 2.0234,                0.77583,                0.43207,                0.52534,                0.24806,                 1.9506,                 5.8852,                 2.2765,             0.00091585,             0.00091585,             0.00091585
                     20,                 1.7557,                 4.9586,                 1.9878,                0.74774,                0.46029,                0.56148,                0.26507,                 1.9269,                  6.175,                 2.2206,              0.0009109,              0.0009109,              0.0009109
                     21,                 1.7639,                 5.0452,                 1.9945,                0.64951,                  0.534,                0.54982,                0.24809,                 1.9676,                  5.916,                 2.2193,             0.00090595,             0.00090595,             0.00090595
                     22,                 1.7533,                 4.9339,                 1.9698,                0.66884,                0.43531,                0.53591,                 0.2557,                 1.9446,                 5.4695,                 2.2247,               0.000901,               0.000901,               0.000901
                     23,                 1.7178,                 4.8677,                 1.9488,                0.78124,                0.43124,                0.51874,                0.24942,                 1.9964,                 6.1117,                 2.2578,             0.00089605,             0.00089605,             0.00089605
                     24,                 1.7042,                 4.6894,                 1.9453,                0.75835,                0.40601,                0.51797,                0.24791,                 1.9547,                 5.8745,                 2.3102,              0.0008911,              0.0008911,              0.0008911
                     25,                 1.6972,                 4.7444,                 1.9425,                0.80356,                0.43143,                 0.5162,                0.24351,                 1.9603,                 6.3817,                 2.2832,             0.00088615,             0.00088615,             0.00088615
